Keyword,产品系列/类型,原类型,备注
cuanto vale barometro spirax sarco,显示器,,pressure gauge/manometer (batch-40)
dampfventil spirax sarco,阀门通用,,generic valve multilingual (batch-40)
dampfventil spirax sarco 24v motor,阀门通用,,generic valve multilingual (batch-40)
dcaricatore aria spirax sarco,排空气阀,,air vent / air eliminator multilingual (batch-40)
degasatore spirax sarco,除氧器,,deaerator/degasifier (batch-40)
deshumedecedor spirax sarco,汽水分离器,,separator/moisture separator multilingual (batch-40)
dessuperaquecedor spirax sarco,减温器,,desuperheater (batch-40)
difusor spirax sarco,消音器,,diffuser / noise diffuser (batch-40)
digital cycle counter spirax sarco,监测器,,monitoring/analyzer (batch-40)
dpe spirax sarco,排水盘弯头,,drip pan elbow / DPE (batch-40)
drain pan elbow spirax sarco,排水盘弯头,,drip pan elbow / DPE (batch-40)
druckreduzierstation spirax sarco,减压阀,,25 series / pressure reducing station (batch-40)
easyheater spirax sarco,换热器系统,,EasiHeat / water heater system (batch-40)
elemento filtrante spirax sarco,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
elemento filtrante spirax sarco p-gs 15 30,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
eliminadora de airte spirax sarco,排空气阀,,air vent / air eliminator multilingual (batch-40)
eliminatore aria spirax sarco,排空气阀,,air vent / air eliminator multilingual (batch-40)
eliminatore d'aria spirax sarco,排空气阀,,air vent / air eliminator multilingual (batch-40)
enfriador de muestras spirax sarco,取样冷却器,,sample cooler (batch-40)
estacion mezcladora agua vapor marca spirax sarco,喷射加热系统,,steam/water mixing station (batch-40)
expansion joint spirax sarco,垫片与膨胀接头,,expansion joint (batch-40)
feed water tank spirax sarco,锅炉及附件,,boiler/feedwater accessories (batch-40)
fig 14 spirax sarco,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
figura 14 spirax sarco,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
figura 34 spirax sarco,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
filtr gruszkowy spirax sarco,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
flangia tarata spirax sarco,孔板,,orifice plate (batch-40)
float termostatic spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
ft 010 spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
ft 10 spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
ft 20 spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
ft 54h spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
ft 55 spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
ft 553 tv spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
ft14x spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
ftd spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
fte spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
generador de vapor spirax sarco,蒸汽发生器,,steam generator (batch-40)
humidificadores spirax sarco,空气加湿器,,humidifier (batch-40)
indicador de temperatura spirax sarco,温度传感器,,temperature sensor (batch-40)
injetor de vapor spirax sarco,喷射器,,steam injector (batch-40)
intercambiador de calor gases combustion spirax sarco,换热器,,heat exchanger (batch-40)
intercambiador de calor spirax sarco,换热器,,heat exchanger (batch-40)
inverted buckut spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
inyector de vapor spirax sarco,喷射器,,steam injector (batch-40)
inyector de vapor spirax sarco in 25,喷射器,,steam injector (batch-40)
kondensathebeanlage spirax sarco,冷凝水回收装置,,condensate return/recovery unit (batch-40)
kondenzni lonac spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
kondezni garneta spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
kugelventil tri clamp spirax sarco,球阀,,ball valve multilingual (batch-40)
kugelventil triclamp spirax sarco,球阀,,ball valve multilingual (batch-40)
lc 1000 spirax sarco,液位控制器,,LC level controller family (batch-40)
lc 2500 spirax sarco,液位控制器,,LC level controller family (batch-40)
llave de paso spirax sarco esferica de 1 1 2,球阀,,ball valve multilingual (batch-40)
llave de tres cuerpos spirax sarco,球阀,,ball valve multilingual (batch-40)
llave de tres cuerpos spirax sarco 3,球阀,,ball valve multilingual (batch-40)
lp40 spirax sarco,液位感应器,,level probe/sensor chamber (batch-40)
manifold industrial spirax sarco,蒸汽集管,,steam manifold/header (batch-40)
manometros spirax sarco,显示器,,pressure gauge/manometer (batch-40)
manometros spirax sarco 4 kg,显示器,,pressure gauge/manometer (batch-40)
medidor conductividad spirax sarco,电导率感应器,,conductivity sensor/meter (batch-40)
medidor de conductividad spirax sarco,电导率感应器,,conductivity sensor/meter (batch-40)
medidor de gas spirax sarco,流量计,,flow/meter terms (batch-40)
medidor de vapor spirax sarco adquisicion de datos,流量计,,flow/meter terms (batch-40)
medidor temperatura spirax sarco,温度传感器,,temperature sensor (batch-40)
mezclador de vapor spirax sarco,喷射加热系统,,steam/water mixing station (batch-40)
mirillas spirax sarco,观视镜,,sight glass / mirilla (batch-40)
mirillas spirax sarco english,观视镜,,sight glass / mirilla (batch-40)
mirillas spirax sarco english con check,观视镜,,sight glass / mirilla (batch-40)
mirillas spirax sarco enlish,观视镜,,sight glass / mirilla (batch-40)
misturador de agua e vapor spirax sarco,喷射加热系统,,steam/water mixing station (batch-40)
modul schimbator de caldura spirax sarco,换热器,,heat exchanger (batch-40)
odwadniacze spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
piston operated valva spirax sarco,活塞阀,,piston valve (batch-40)
placa orificio spirax sarco,孔板,,orifice plate (batch-40)
precio barometro spirax sarco,显示器,,pressure gauge/manometer (batch-40)
prix du spirax sarco td 32,疏水阀,,steam trap multilingual/model family (batch-40)
przepustnica sekcyjna zaporowa spirax sarco,蝶阀,,butterfly valve (batch-40)
radar de onda guiada spirax sarco,液位感应器,,level probe/sensor chamber (batch-40)
recuperardo de calor gases combustion spirax sarco,换热器,,heat exchanger (batch-40)
reductor de vapor spirax sarco,减压阀,,25 series / pressure reducing station (batch-40)
regulation presure spirax sarco rusija,减压阀,,25 series / pressure reducing station (batch-40)
regulation presure spirax sarco rusija cena,减压阀,,25 series / pressure reducing station (batch-40)
retencion de disco spirax sarco,止回阀,,check valve multilingual (batch-40)
rnfriador de muestras spirax sarco,取样冷却器,,sample cooler (batch-40)
robineti spirax sarco,阀门通用,,generic valve multilingual (batch-40)
rtd spirax sarco,温度传感器,,temperature sensor (batch-40)
ruckschlagventile spirax sarco,止回阀,,check valve multilingual (batch-40)
sample coler spirax sarco,取样冷却器,,sample cooler (batch-40)
secador de humedad 150 spirax sarco,汽水分离器,,separator/moisture separator multilingual (batch-40)
secador vaoir spirax sarco,汽水分离器,,separator/moisture separator multilingual (batch-40)
secador vapor spirax sarco,汽水分离器,,separator/moisture separator multilingual (batch-40)
separadoe vapor spirax sarco,汽水分离器,,separator/moisture separator multilingual (batch-40)
sistema alimentacion spirax sarco,锅炉及附件,,boiler/feedwater accessories (batch-40)
sistema alimentacion spirax sarco fuel oil,锅炉及附件,,boiler/feedwater accessories (batch-40)
sistema de agua de alimentacion spirax sarco,锅炉及附件,,boiler/feedwater accessories (batch-40)
sistema de trampeo de vapor spirax-sarco,疏水阀,,steam trap multilingual/model family (batch-40)
sistema de trampeo spirax sarco,疏水阀,,steam trap multilingual/model family (batch-40)
sonda de conductividad spirax sarco certificacion,电导率感应器,,conductivity sensor/meter (batch-40)
spirax sarco 25 bp,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25 mp,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25 mt,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25 pa,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25 pte,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25bp,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25e,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25mt,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25prv,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25s,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco 25te,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco accumulator,蒸汽蓄热器,,steam accumulator (batch-40)
spirax sarco automatic air and gas vents,自动排空气阀,,automatic air/gas vent (batch-40)
spirax sarco automatic air and gas vents stainless steel,自动排空气阀,,automatic air/gas vent (batch-40)
spirax sarco automatische ontluchter,自动排空气阀,,automatic air/gas vent (batch-40)
spirax sarco ax automatische ontluchter,自动排空气阀,,automatic air/gas vent (batch-40)
spirax sarco barometro,显示器,,pressure gauge/manometer (batch-40)
spirax sarco bcv 31,控制阀,,BCV31 control valve (batch-40)
spirax sarco bpc,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco bpc cv,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco bpcy cv,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco btu meter,流量计,,flow/meter terms (batch-40)
spirax sarco calderos,锅炉及附件,,boiler/feedwater accessories (batch-40)
spirax sarco calentador de agua,换热器系统,,EasiHeat / water heater system (batch-40)
spirax sarco check disk,止回阀,,check valve multilingual (batch-40)
spirax sarco check va,止回阀,,check valve multilingual (batch-40)
spirax sarco ci-125,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
spirax sarco clean steam parameters monitoring,监测器,,monitoring/analyzer (batch-40)
spirax sarco collecteur,蒸汽集管,,steam manifold/header (batch-40)
spirax sarco condensate return,冷凝水回收装置,,condensate return/recovery unit (batch-40)
spirax sarco condensate return system,冷凝水回收装置,,condensate return/recovery unit (batch-40)
spirax sarco condensate return unit,冷凝水回收装置,,condensate return/recovery unit (batch-40)
spirax sarco cru,冷凝水回收装置,,condensate return/recovery unit (batch-40)
spirax sarco cyclonic,汽水分离器,,separator/moisture separator multilingual (batch-40)
spirax sarco dampfventil,阀门通用,,generic valve multilingual (batch-40)
spirax sarco desgasificador,除氧器,,deaerator/degasifier (batch-40)
spirax sarco desgasifier,除氧器,,deaerator/degasifier (batch-40)
spirax sarco digital cycle counter,监测器,,monitoring/analyzer (batch-40)
spirax sarco estacion reductora de vapor,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco expansion joint,垫片与膨胀接头,,expansion joint (batch-40)
spirax sarco eyector de vapor,引射器,,steam jet thermocompressor/ejector (batch-40)
spirax sarco faltenbalg absperrventil,截止阀,,bellows sealed stop/globe valve (batch-40)
spirax sarco fig 32,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
spirax sarco filtr sw,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
spirax sarco fitlros,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
spirax sarco ft 55,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco ftd,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco ftd 2,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco ftdh 2,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco gauge 1000kpa,显示器,,pressure gauge/manometer (batch-40)
spirax sarco generador de vapor,蒸汽发生器,,steam generator (batch-40)
spirax sarco generadores de vapor,蒸汽发生器,,steam generator (batch-40)
spirax sarco hot well,锅炉及附件,,boiler/feedwater accessories (batch-40)
spirax sarco hotwell tank,锅炉及附件,,boiler/feedwater accessories (batch-40)
spirax sarco hotwell tanks,锅炉及附件,,boiler/feedwater accessories (batch-40)
spirax sarco inyector de vapor,喷射器,,steam injector (batch-40)
spirax sarco klapy,阀门通用,,generic valve multilingual (batch-40)
spirax sarco kondens pompa,冷凝水泵,,condensate pump multilingual (batch-40)
spirax sarco kondensatavledare,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco kondenspot,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco kugelschwimmerkondensatableiter,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco lauhteenpoistimet,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco lc 2610,液位控制器,,LC level controller family (batch-40)
spirax sarco luftudlader,排空气阀,,air vent / air eliminator multilingual (batch-40)
spirax sarco manifold,蒸汽集管,,steam manifold/header (batch-40)
spirax sarco manifold de 6 bar,蒸汽集管,,steam manifold/header (batch-40)
spirax sarco manometer,显示器,,pressure gauge/manometer (batch-40)
spirax sarco manometer with transducer,显示器,,pressure gauge/manometer (batch-40)
spirax sarco medidores de agua,流量计,,flow/meter terms (batch-40)
spirax sarco mezcladora de agua,喷射加热系统,,steam/water mixing station (batch-40)
spirax sarco ontluchter,排空气阀,,air vent / air eliminator multilingual (batch-40)
spirax sarco oransal vana,阀门通用,,generic valve multilingual (batch-40)
spirax sarco pistonlu vanalar,活塞阀,,piston valve (batch-40)
spirax sarco pompa kondensatu porcjowe,冷凝水泵,,condensate pump multilingual (batch-40)
spirax sarco pompy porcjowe,冷凝水泵,,condensate pump multilingual (batch-40)
spirax sarco reduceer,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco sanitari automatic air and gas vents stainless steel,自动排空气阀,,automatic air/gas vent (batch-40)
spirax sarco seleecion trampasde vapor,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco sensor chamber,液位感应器,,level probe/sensor chamber (batch-40)
spirax sarco seperator stainless,汽水分离器,,separator/moisture separator multilingual (batch-40)
spirax sarco serie-25 e-bay,减压阀,,25 series / pressure reducing station (batch-40)
spirax sarco shell heat excahnger,换热器,,heat exchanger (batch-40)
spirax sarco slavina,阀门通用,,generic valve multilingual (batch-40)
spirax sarco slavina cena,阀门通用,,generic valve multilingual (batch-40)
spirax sarco snavssamler,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
spirax sarco solenoid,电磁阀,,solenoid valve (batch-40)
spirax sarco steam expantion joint,垫片与膨胀接头,,expansion joint (batch-40)
spirax sarco steam manifolds,蒸汽集管,,steam manifold/header (batch-40)
spirax sarco steam tank water heater,换热器系统,,EasiHeat / water heater system (batch-40)
spirax sarco steam water heater,换热器系统,,EasiHeat / water heater system (batch-40)
spirax sarco steam water mixer,喷射加热系统,,steam/water mixing station (batch-40)
spirax sarco steam water washdown unit,喷射加热系统,,steam/water mixing station (batch-40)
spirax sarco tank water heater,换热器系统,,EasiHeat / water heater system (batch-40)
spirax sarco td 32,疏水阀,,steam trap multilingual/model family (batch-40)
spirax sarco termocompresor,引射器,,steam jet thermocompressor/ejector (batch-40)
spirax sarco termocompresores,引射器,,steam jet thermocompressor/ejector (batch-40)
spirax sarco thermocompressor,引射器,,steam jet thermocompressor/ejector (batch-40)
spirax sarco totalisateur,流量计算机,,flow totalizer (batch-40)
spirax sarco vana,阀门通用,,generic valve multilingual (batch-40)
spirax sarco vanalar,阀门通用,,generic valve multilingual (batch-40)
spirax sarco ventiler,阀门通用,,generic valve multilingual (batch-40)
spirax sarco venttiili,阀门通用,,generic valve multilingual (batch-40)
spirax sarco zawory kulowe,球阀,,ball valve multilingual (batch-40)
